Entity Name,Classification,Confidence,Split Entities,Explanation
"Foxtel, Melbourne Conversazioni",MULTIPLE,HIGH,"Foxtel, Melbourne Conversazioni","Foxtel is a television provider, and Melbourne Conversazioni seems to be a separate organization or event."
"Lismore, Ballina",MULTIPLE,HIGH,"Lismore, Ballina","Lismore and Ballina are separate towns in NSW, Australia."
"Qantas, Virgin, ASTRA",MULTIPLE,HIGH,"Qantas, Virgin, ASTRA",Qantas and Virgin are airlines; ASTRA is likely a separate entity (requires further context for complete certainty).
"Qantas, Assange Campaign Group",MULTIPLE,HIGH,"Qantas, Assange Campaign Group","Qantas is an airline, and the Assange Campaign Group is a separate advocacy group."
"ANZ, Commonwealth, Westpac, Qld Country Bank, etc.",MULTIPLE,HIGH,"ANZ, Commonwealth, Westpac, Qld Country Bank, etc.","These are all separate financial institutions, with ""etc."" indicating more unspecified entities."
"CBA, ANZ",MULTIPLE,HIGH,"Commonwealth Bank of Australia, Australia and New Zealand Banking Group",CBA (Commonwealth Bank of Australia) and ANZ (Australia and New Zealand Banking Group) are two distinct major Australian banks.
"Exquirant P/L, Billson Family Trust",MULTIPLE,HIGH,"Exquirant P/L, Billson Family Trust",Exquirant P/L is a company and Billson Family Trust is a separate legal entity.
"Wizard, GE Money, Commonwealth Bank",MULTIPLE,HIGH,"Wizard, GE Money, Commonwealth Bank of Australia",These are three separate financial institutions.
"Transport Workers Union (NSW), Emily's List, APHEDA",MULTIPLE,HIGH,"Transport Workers Union (NSW), Emily's List, APHEDA",These are three distinct organizations.
"Police Credit Co-op, Australian Super",MULTIPLE,HIGH,"Police Credit Co-op, Australian Super",These are two different entities: a credit union and a superannuation fund.
"Metropolitan Ambulance Service, Monash University",MULTIPLE,HIGH,"Metropolitan Ambulance Service, Monash University",These are two separate and distinct organizations.
"MTC productions, Qantas",MULTIPLE,HIGH,"MTC productions, Qantas","MTC productions is a theatre company, Qantas is an airline."
"Australian Labor Party, Australian Services Union, Friends of the ABC, Oxfam, Amnesty International, Associate member of the RSL, Police Ass Credit Co-Op, Box Hill Hawkes, Friends of Wattle Park, Friends of MGA, Friends of the Highway Gallery",MULTIPLE,HIGH,"Australian Labor Party, Australian Services Union, Friends of the ABC, Oxfam, Amnesty International, Associate member of the RSL, Police Ass Credit Co-Op, Box Hill Hawkes, Friends of Wattle Park, Friends of MGA, Friends of the Highway Gallery",These are all separate organizations.
"Australian Labor Party, Friends of the ABC, Police Ass Credit Co-Op, Ambulance Employees Association, National Tertiary Education Union, Australian Sceptics",MULTIPLE,HIGH,"Australian Labor Party, Friends of the ABC, Police Ass Credit Co-Op, Ambulance Employees Association, National Tertiary Education Union, Australian Sceptics",These are all separate organizations.
"Oakleigh/Carneign RSL, Box Hill RSL, Box Hill Lions",MULTIPLE,HIGH,"Oakleigh RSL, Carneign RSL, Box Hill RSL, Box Hill Lions",These appear to be three separate RSL (Returned & Services League) and Lions Clubs.
"Bulldogs Rugby League Club, Sydney Theatre Company",MULTIPLE,HIGH,"Bulldogs Rugby League Club, Sydney Theatre Company",These are two separate entities: a rugby league club and a theatre company.
"Qantas, Boeing",MULTIPLE,HIGH,"Qantas, Boeing",These are two separate multinational corporations.
"Navantia, Lockheed Martin",MULTIPLE,HIGH,"Navantia, Lockheed Martin",These are two separate large defense contractors.
"Avalon Airshow, Leighton Holdings, Parliamentary Friends of Clubs",MULTIPLE,HIGH,"Avalon Airshow, Leighton Holdings, Parliamentary Friends of Clubs",These are three distinct entities.
"Greg Baxter, Boeing, Chris Jenkins",MULTIPLE,HIGH,"Greg Baxter, Boeing, Chris Jenkins",These are three distinct individuals and a corporation.
"Emirates Airlines, Babcock UK, Airbus Military, Navantia",MULTIPLE,HIGH,"Emirates Airlines, Babcock UK, Airbus Military, Navantia",These are four separate multinational corporations.
"Airbus Military, Navantia, Al Group",MULTIPLE,HIGH,"Airbus Military, Navantia, Al Group",These are three separate entities.
"Police Services Association, Tongan Police Minister",MULTIPLE,HIGH,"Police Services Association, Tongan Police Minister",These are two separate entities: an association and a government official.
"Cyprus High Commission, Varley Group, Bruck Group, Indonesian National Police Chief",MULTIPLE,HIGH,"Cyprus High Commission, Varley Group, Bruck Group, Indonesian National Police Chief",These are four distinct entities.
"Thales, Jordanian Government",MULTIPLE,HIGH,"Thales, Jordanian Government",These are two separate entities: a corporation and a government.
"Boeing, Minter Ellison",MULTIPLE,HIGH,"Boeing, Minter Ellison",These are a corporation and a law firm.
"Bankstown Sports Club, NRL",MULTIPLE,HIGH,"Bankstown Sports Club, NRL",These are a sports club and a sporting league.
"Bankstown Sports Club, Channel 9, Interlink Roads, Bankstown RSL, Linfox, Pickles Auctions",MULTIPLE,HIGH,"Bankstown Sports Club, Channel 9, Interlink Roads, Bankstown RSL, Linfox, Pickles Auctions",These are all separate organizations.
"QPCU, Westpac, CBA",MULTIPLE,HIGH,"QPCU, Westpac, Commonwealth Bank of Australia",These are three distinct financial institutions.
"Westpac, CBA, QPCU",MULTIPLE,HIGH,"Westpac, Commonwealth Bank of Australia, QPCU",These are three distinct financial institutions.
"Qantas, Virgin",MULTIPLE,HIGH,"Qantas, Virgin Australia",These are two competing Australian airlines.
"Westpac, National Australia Bank",MULTIPLE,HIGH,"Westpac, National Australia Bank",These are two of the big four Australian banks.
"Mercer MMF Australian Inflation Linked Bond Fund, UBS Australian Bond Fund, EQT PIMCO Global Real Return Fund, EQT PIMCO Diversified Fixed Interest Fund",MULTIPLE,HIGH,"Mercer MMF Australian Inflation Linked Bond Fund, UBS Australian Bond Fund, EQT PIMCO Global Real Return Fund, EQT PIMCO Diversified Fixed Interest Fund",These are four distinct investment funds.
"Perpetual Wealth Focus Investment Finds - Perpetual's Smaller Companies Fund, Wilson Investment Fund Limited.",MULTIPLE,HIGH,"Perpetual Wealth Focus Investment Finds - Perpetual's Smaller Companies Fund, Wilson Investment Fund Limited.",These are two separate investment funds.
"Australian Services Union, Celtic Club, Amnesty International",MULTIPLE,HIGH,"Australian Services Union, Celtic Club, Amnesty International",These are three distinct organizations.
"Cricket Australia, Diageo Pty Ltd",MULTIPLE,HIGH,"Cricket Australia, Diageo Pty Ltd",These are two separate organizations.
"Qantas, Virgin, Foxtel",MULTIPLE,HIGH,"Qantas, Virgin, Foxtel",These are three separate Australian companies.
"ABC, Louise Milligan, Company Giles, Legal Services Trust, Ms Chrysanthou",MULTIPLE,HIGH,"ABC, Louise Milligan, Company Giles, Legal Services Trust, Ms Chrysanthou","These are multiple entities; the ABC (Australian Broadcasting Corporation), an individual, a company, a trust, and another individual."
"Commonwealth Bank of Australia, Bank of Queensland",MULTIPLE,HIGH,"Commonwealth Bank of Australia, Bank of Queensland",These are two separate banks.
"Westpac, Commonwealth Bank of Australia, Peoples Choice Credit Union",MULTIPLE,HIGH,"Westpac, Commonwealth Bank of Australia, Peoples Choice Credit Union",These are three separate financial institutions.
"Australia Education Union, World Vision (sponsor), Maritime Union of Australia, Unicef (donor), Vice Patron of Northern Territory Rugby Union, Lifetime member of Kiwi Rugby Club Alice Springs, Patron Eastern Suburbs Rugby Club Canberra, Central Australia NT Schools Education Leaders (CANSTEL), Australian Education Union, Australia Council Education Leaders (ACEL), Board member of GUTS Dance Central Australia",MULTIPLE,HIGH,"Australia Education Union, World Vision, Maritime Union of Australia, Unicef, Northern Territory Rugby Union, Kiwi Rugby Club Alice Springs, Eastern Suburbs Rugby Club Canberra, Central Australia NT Schools Education Leaders (CANSTEL), Australia Council Education Leaders (ACEL), GUTS Dance Central Australia",This lists multiple organizations and affiliations.
"Governor, Queenwood School, Mosman",MULTIPLE,HIGH,"Governor, Queenwood School, Mosman","These refer to a Governor (likely of a school), a school, and a location."
"ASTRA, FOXTEL",MULTIPLE,HIGH,"ASTRA, FOXTEL",These are two separate organizations.  ASTRA likely refers to the Australian Subscription Television and Radio Association.
"ANZ, Qudos Bank, ING",MULTIPLE,HIGH,"ANZ, Kudos Bank, ING",These are three different banks operating in Australia.
"Liberal Party of Australia (Victorian Division), Institute of Public Affairs, Melbourne Cricket Club, Melbourne Football Club, Sandringham Yacht Club, Sandringham Bowls Club, Old Brighton Grammarians Football Club, Royal Brighton Yacht Club, Hampton Life Saving Club, Sorrento Sailing Couta Boat Club",MULTIPLE,HIGH,"Liberal Party of Australia (Victorian Division), Institute of Public Affairs, Melbourne Cricket Club, Melbourne Football Club, Sandringham Yacht Club, Sandringham Bowls Club, Old Brighton Grammarians Football Club, Royal Brighton Yacht Club, Hampton Life Saving Club, Sorrento Sailing Couta Boat Club",These are all distinct organizations.
"Liberal Party of Australia (Victorian Division), Institute of Public Affairs, Victorian Racing Club, Melbourne Football Club, Victorian Institute of Teaching",MULTIPLE,HIGH,"Liberal Party of Australia (Victorian Division), Institute of Public Affairs, Victorian Racing Club, Melbourne Football Club, Victorian Institute of Teaching",These are all distinct organizations.
"Westpac, NAB",MULTIPLE,HIGH,"Westpac, NAB",Westpac and NAB are two separate Australian banks.
"CBA, Westpac",MULTIPLE,HIGH,"CBA, Westpac",CBA (Commonwealth Bank of Australia) and Westpac are two separate Australian banks.
"Bendigo Bank, Westpac (Dependent Children)",MULTIPLE,HIGH,"Bendigo Bank, Westpac (Dependent Children)",Clearly two distinct entities: Bendigo Bank and Westpac's 'Dependent Children' program (or department).
"BKL, CWN, QBE, SEK",MULTIPLE,HIGH,"BKL, CWN, QBE, SEK",These appear to be stock market tickers for four separate companies.
"Long Reef Surf Life Saving Club, Warringah Chamber of Commerce, Manly Sea Eagles, Dee Why RSL Club",MULTIPLE,HIGH,"Long Reef Surf Life Saving Club, Warringah Chamber of Commerce, Manly Sea Eagles, Dee Why RSL Club",Four independent community organizations in the same geographic area.
"Royal Goedewaagen, Schipol",MULTIPLE,HIGH,"Royal Goedewaagen, Schiphol",Royal Goedewaagen is a ceramics company; Schiphol is an airport.  They are distinct.
"Arnold Bloch Leibler, Mr David Bennett AC QC",MULTIPLE,HIGH,"Arnold Bloch Leibler, Mr David Bennett AC QC",A law firm and an individual lawyer.
"Randwick NSW, Port Macquarie, Port Macquarie, Port Macquarie, Wauchope",MULTIPLE,HIGH,"Randwick NSW, Port Macquarie, Port Macquarie, Port Macquarie, Wauchope","These are locations in NSW, Australia."
"Port Macquarie, Port Macquarie, Wauchope",MULTIPLE,HIGH,"Port Macquarie, Port Macquarie, Wauchope","These are locations in NSW, Australia."
"Port Macquarie, Port Macquarie",MULTIPLE,HIGH,"Port Macquarie, Port Macquarie","These are locations in NSW, Australia.  The repetition suggests separate instances."
"Templemore Investment Pty Ltd, Goldenboot Pty Ltd",MULTIPLE,HIGH,"Templemore Investment Pty Ltd, Goldenboot Pty Ltd",Two separate Pty Ltd companies.
"Templemore Investment Pty Ltd, Goldenboots Pty Ltd",MULTIPLE,HIGH,"Templemore Investment Pty Ltd, Goldenboots Pty Ltd",Two separate Pty Ltd companies.  Note the slight spelling difference.
"Royal Australasian College of Physicians, AMA(NSW), Gastroenterology Society of Australia",MULTIPLE,HIGH,"Royal Australasian College of Physicians, AMA(NSW), Gastroenterology Society of Australia",Three separate medical organizations.
"Thai Airways, business class; AIMS Immigration Specialist Pte Ltd; Naki Group",MULTIPLE,HIGH,"Thai Airways, AIMS Immigration Specialist Pte Ltd, Naki Group","An airline, an immigration specialist, and another company are mentioned."
"Malindo Air; Melia Hotel, Hanoi; Vietnam Airlines; Singapore Airlines; AIMS Immigration Specialist Pte Ltd",MULTIPLE,HIGH,"Malindo Air, Melia Hotel, Vietnam Airlines, Singapore Airlines, AIMS Immigration Specialist Pte Ltd",Multiple airlines and a hotel are listed.
"Australian Super, Comminsure Corporate Insurance Superannuation, OnePath Masterfund",MULTIPLE,HIGH,"Australian Super, Comminsure Corporate Insurance Superannuation, OnePath Masterfund",Three different superannuation funds.
"Sam Buckeridge, BGC Group",MULTIPLE,HIGH,"Sam Buckeridge, BGC Group",An individual and a company.
"Nigel Satterley AO, CEO THE SATTERLEY GROUP, JOHN POYNTON AO, RICK NEWNHAM, CHIEF ECONOMIST, CCI WA",MULTIPLE,HIGH,"Nigel Satterley AO, JOHN POYNTON AO, RICK NEWNHAM, CCI WA",Multiple individuals and organizations.
"ANZ, CBA",MULTIPLE,HIGH,"ANZ, CBA",Two major Australian banks.
"QANTAS, VIRGIN AUSTRALIA",MULTIPLE,HIGH,"QANTAS, VIRGIN AUSTRALIA",Two major Australian airlines.
"Br Armin, De La Salle University",MULTIPLE,HIGH,"Br Armin, De La Salle University",An individual and a university.
"Kuwait Parliament, Palestinian Authority",MULTIPLE,HIGH,"Kuwait Parliament, Palestinian Authority",Two separate governing bodies.
"NAB, Westpac",MULTIPLE,HIGH,"NAB, Westpac",Two major Australian banks.
"CPA Australia, Nationals NSW",MULTIPLE,HIGH,"CPA Australia, Nationals NSW",CPA Australia is a professional body; Nationals NSW is a political party branch.
"Qantas, Virgin Australia, Mr John Short",MULTIPLE,HIGH,"Qantas, Virgin Australia, Mr John Short",Two airlines and an individual.
"ANZ, Commonwealth, Westpac etc.",MULTIPLE,HIGH,"ANZ, Commonwealth, Westpac",Multiple Australian banks are listed.
"Westpac, Esanda",MULTIPLE,HIGH,"Westpac, Esanda","Westpac is a bank; Esanda is a finance company, often associated with Westpac but remains a separate legal entity."
"Bank of QLD, American Express",MULTIPLE,HIGH,"Bank of QLD, American Express",A regional Australian bank and a global credit card company.
"ALP, Australian Workers Union",MULTIPLE,HIGH,"ALP, Australian Workers Union",The Australian Labor Party and a separate union.
"Woodside Energy Ltd, National Australia Bank",MULTIPLE,HIGH,"Woodside Energy Ltd, National Australia Bank",An energy company and a bank.
Seven West Media and Anthony De Ceglie,MULTIPLE,HIGH,"Seven West Media, Anthony De Ceglie",Seven West Media is a publicly listed media company. Anthony De Ceglie is an individual.  The context clearly shows two separate entities.
American Chamber of Commerce in Australia (AmCham) and the Insurance Council of Australia (ICA),MULTIPLE,HIGH,"American Chamber of Commerce in Australia (AmCham), the Insurance Council of Australia (ICA)",These are two distinct and well-known Australian organizations.
Dr Alan Mendoza and Henry Jackson Society,MULTIPLE,HIGH,"Dr Alan Mendoza, Henry Jackson Society",Dr Alan Mendoza is an individual; the Henry Jackson Society is a UK think tank with Australian connections. The context clearly indicates two separate entities.
